Scan,Wavelength,Percent,Power,Temperature,,E_offset,t0_offset
8872,910,,95,300,,,
8892,910,,,300,Delay scan,,
8893,910,,,300,,,
8955,910,,125,300,Delay scan,,
8986,700,,140,300,delay scan,,
8998,680,,100,300,,,
9049,910,,60,300,Delay scan,,
9055,910,,30,300,,,
9056,910,,30,300,,,
9070,910,,30,165,Delay scan,,
9071,910,,30,130,,,
9076,910?,,,,,,
9081,910,,,,Delay scan,,
9085,910,,30,128,Delay scan,,
9103,700,,40,128,Delay Scan,,
9127,400,,100,180,,,
9129,400,,100,183,,,
9134,400,,100,185,,19.72,-48
9137,400,,100,125,,19.72,-55
9140,400,,100,125,,19.72,-71
,,,,,,,
9170,910,8,,300,delay scan,,
9171,910,8,,300,Static -2000 fs,,
9172,910,8,,300,Static 100 fs,,
9173,910,Off,,300,Static,,
9176,910,12.6,,300,delay scan,,
9180,910,4,,300,delay scan,,
9181,910,4,,300,Static 100 fs,,
9183,910,2,,300,Delay scan,,
9184,910,1,,300,,,
9185,910,8,,300,,,
9207,910,0.5,,300,,,
9208,910,0.25,,300,,,
9216,910,12.5,,300,Delay scan,19.72,-118.5
9217,910,3.98,,300,,19.72,-152.7
9218,910,7.94,,300,,19.72,-183.1
9219,910,1.58,,300,,19.72,-162.4
9220,910,15.85,,300,,19.72,-113.7
9227,910,0.9,,300,,19.72,-191.7
9228,910,19.95,,300,Delay scan,19.72,-125.2
9229,910,19.95,,300,,,
9230,910,3.98,,300,,,
9231,910,28.85,,300,,19.72,-147.6
9237,910,12.58,,122,,,
9238,910,No Pump,,122,,,
9239,910,12.58,,122,,,
9240,910,19.95,,122,,19.72,-125
9241,910,3.98,,122,,19.72,-170
9327,700,10,,300,,19.72,-121
9328,700,Pump Blocked,,300,,,
9329,700,6.31,,300,,,
9330,700,2.88,,300,,,
9335,700,8,,300,,,
9348,700,5,,300,,,
9349,700,9,,300,,,
9367,700,6.31,,300,delay,19.72,-118
9368,700,2.88,,300,delay,19.72,-143
9369,700,1.25,,300,delay,19.72,
9370,700,7.95,,300,delay,19.72,-128
9373,700,12.6,,300,delay,19.72,-57.8
9376,700,No Pump,,300,Static Frames,,
9378,700,4,,300,delay,19.72,-111.8
9385,680,8,,300,delay,,
9398,680,8,,300,opt overlap,,
9399,680,8,,300,delay,19.72,-157.7
9400,680,10,,300,delay,19.72,-187.3
9408,640,8,,300,delay scan,19.72,-85.2
9409,640,3.98,,300,delay scan,19.72,-66.5
9410,640,12.5,,300,delay scan,19.72,-5.5
9411,640,2,,300,delay scan,19.72,-50.1
9412,640,8,,300,delay scan,19.72,-48
9413,640,no Pump,,300,static frame,,
9446,800,12.6,,300,delay scan,,
9499,400,20,,300,Delay Scan,,
9510,400,30,,300,Delay Scan,,
9517,400,36.3,,300,Delay Scan,,-215
9523,400,N/A,,300,HWP scan 200 fs,,
9525,400,20,,300,delay scan,,-120
9526,400,45,,300,delay scan,19.72,-268
9531,910,20,,300,"Delay scan, timing ref",,
9532,910,20,,300,HWP Pump Scan @ 50 fs,,
9533,910,20,,300,Delay scan,,
9537,935,15,,300,,,
9538,935,7.9,,300,,,
9539,935,20,,300,,,
9545,940,20,,300,,,
