waveplate_angle,avg_current
0.0,6.771538461538462e-09
0.5,6.745e-09
1.0,6.72e-09
1.5,6.585e-09
2.0,6.56e-09
2.5,6.4200000000000006e-09
3.0,6.3e-09
3.5,6.27e-09
4.0,6.19e-09
4.5,6.075e-09
5.0,5.91e-09
5.5,5.82e-09
6.0,5.71e-09
6.5,5.5e-09
7.0,5.36e-09
7.5,5.185e-09
8.0,5.11e-09
8.5,5.03e-09
9.0,4.835e-09
9.5,4.71e-09
10.0,4.5350000000000006e-09
10.5,4.45e-09
11.0,4.285e-09
11.5,4.17e-09
12.0,4.0550000000000006e-09
12.5,3.99e-09
13.0,3.845e-09
13.5,3.73e-09
14.0,3.5900000000000002e-09
14.5,3.56e-09
15.0,3.4399999999999997e-09
15.5,3.4e-09
16.0,3.295e-09
16.5,3.25e-09
17.0,3.1649999999999997e-09
17.5,3.17e-09
18.0,3.1e-09
18.5,3.055e-09
19.0,3.03e-09
19.5,3.0249999999999998e-09
20.0,3.03e-09
20.5,3.015e-09
21.0,3.05e-09
21.5,3.02e-09
22.0,3.03e-09
22.5,3.045e-09
23.0,3.1e-09
23.5,3.125e-09
24.0,3.16e-09
24.5,3.225e-09
25.0,3.24e-09
25.5,3.3349999999999998e-09
26.0,3.37e-09
26.5,3.4e-09
27.0,3.51e-09
27.5,3.6e-09
28.0,3.7549999999999995e-09
28.5,3.76e-09
29.0,3.905e-09
29.5,3.92e-09
30.0,4.115e-09
30.5,4.16e-09
31.0,4.2300000000000005e-09
31.5,4.3e-09
32.0,4.485e-09
32.5,4.62e-09
33.0,4.7e-09
33.5,4.7e-09
34.0,4.905e-09
34.5,4.98e-09
35.0,5e-09
35.5,5.23e-09
36.0,5.21e-09
36.5,5.41e-09
37.0,5.32e-09
37.5,5.42e-09
38.0,5.63e-09
38.5,5.6350000000000005e-09
39.0,5.54e-09
39.5,5.75e-09
40.0,5.75e-09
40.5,5.89e-09
41.0,5.99e-09
41.5,6.06e-09
42.0,6.01e-09
42.5,6.235e-09
43.0,6.04e-09
43.5,6.15e-09
44.0,6.195e-09
44.5,5.99e-09
45.0,6.13e-09
45.5,6.16e-09
46.0,6.105e-09
46.5,6.04e-09
47.0,5.8149999999999995e-09
47.5,5.68e-09
48.0,5.82e-09
48.5,5.71e-09
49.0,5.665e-09
49.5,5.62e-09
50.0,5.59e-09
50.5,5.5e-09
51.0,5.435e-09
51.5,5.33e-09
52.0,5.2950000000000004e-09
52.5,5.16e-09
53.0,5.07e-09
53.5,5.01e-09
54.0,4.93e-09
54.5,4.87e-09
55.0,4.71e-09
