waveplate_angle,diode_current
0,N/A
N/A,6.82E-09
N/A,6.83E-09
N/A,6.70E-09
N/A,6.70E-09
N/A,6.86E-09
N/A,6.74E-09
N/A,6.76E-09
N/A,6.75E-09
N/A,6.81E-09
N/A,6.71E-09
N/A,6.71E-09
N/A,6.82E-09
N/A,6.82E-09
0.5,N/A
N/A,6.77E-09
N/A,6.72E-09
1,N/A
N/A,6.72E-09
1.5,N/A
N/A,6.58E-09
N/A,6.59E-09
2,N/A
N/A,6.56E-09
2.5,N/A
N/A,6.43E-09
N/A,6.41E-09
3,N/A
N/A,6.30E-09
3.5,N/A
N/A,6.24E-09
N/A,6.30E-09
4,N/A
N/A,6.19E-09
4.5,N/A
N/A,6.06E-09
N/A,6.09E-09
5,N/A
N/A,5.91E-09
5.5,N/A
N/A,5.81E-09
N/A,5.83E-09
6,N/A
N/A,5.71E-09
6.5,N/A
N/A,5.56E-09
N/A,5.44E-09
7,N/A
N/A,5.36E-09
7.5,N/A
N/A,5.26E-09
N/A,5.11E-09
8,N/A
N/A,5.11E-09
8.5,N/A
N/A,5.03E-09
9,N/A
N/A,4.84E-09
N/A,4.83E-09
9.5,N/A
N/A,4.71E-09
10,N/A
N/A,4.55E-09
N/A,4.52E-09
10.5,N/A
N/A,4.45E-09
11,N/A
N/A,4.26E-09
N/A,4.31E-09
11.5,N/A
N/A,4.17E-09
12,N/A
N/A,4.07E-09
N/A,4.04E-09
12.5,N/A
N/A,3.99E-09
13,N/A
N/A,3.85E-09
N/A,3.84E-09
13.5,N/A
N/A,3.73E-09
14,N/A
N/A,3.61E-09
N/A,3.57E-09
14.5,N/A
N/A,3.56E-09
15,N/A
N/A,3.48E-09
N/A,3.40E-09
15.5,N/A
N/A,3.40E-09
16,N/A
N/A,3.31E-09
N/A,3.28E-09
16.5,N/A
N/A,3.25E-09
17,N/A
N/A,3.19E-09
N/A,3.14E-09
17.5,N/A
N/A,3.17E-09
18,N/A
N/A,3.10E-09
18.5,N/A
N/A,3.05E-09
N/A,3.06E-09
19,N/A
N/A,3.03E-09
19.5,N/A
N/A,3.03E-09
N/A,3.02E-09
20,N/A
N/A,3.03E-09
20.5,N/A
N/A,3.04E-09
N/A,2.99E-09
21,N/A
N/A,3.05E-09
21.5,N/A
N/A,3.03E-09
N/A,3.01E-09
22,N/A
N/A,3.03E-09
22.5,N/A
N/A,3.06E-09
N/A,3.03E-09
23,N/A
N/A,3.10E-09
23.5,N/A
N/A,3.08E-09
N/A,3.17E-09
24,N/A
N/A,3.16E-09
24.5,N/A
N/A,3.23E-09
N/A,3.22E-09
25,N/A
N/A,3.24E-09
25.5,N/A
N/A,3.31E-09
N/A,3.36E-09
26,N/A
N/A,3.37E-09
26.5,N/A
N/A,3.40E-09
27,N/A
N/A,3.53E-09
N/A,3.49E-09
27.5,N/A
N/A,3.60E-09
28,N/A
N/A,3.74E-09
N/A,3.77E-09
28.5,N/A
N/A,3.76E-09
29,N/A
N/A,3.90E-09
N/A,3.91E-09
29.5,N/A
N/A,3.92E-09
30,N/A
N/A,4.14E-09
N/A,4.09E-09
30.5,N/A
N/A,4.16E-09
31,N/A
N/A,4.22E-09
N/A,4.24E-09
31.5,N/A
N/A,4.30E-09
32,N/A
N/A,4.37E-09
N/A,4.60E-09
32.5,N/A
N/A,4.62E-09
33,N/A
N/A,4.71E-09
N/A,4.69E-09
33.5,N/A
N/A,4.70E-09
34,N/A
N/A,4.87E-09
N/A,4.94E-09
34.5,N/A
N/A,4.98E-09
35,N/A
N/A,5.00E-09
35.5,N/A
N/A,5.33E-09
N/A,5.13E-09
36,N/A
N/A,5.21E-09
36.5,N/A
N/A,5.30E-09
N/A,5.52E-09
37,N/A
N/A,5.32E-09
37.5,N/A
N/A,5.46E-09
N/A,5.38E-09
38,N/A
N/A,5.63E-09
38.5,N/A
N/A,5.63E-09
N/A,5.64E-09
39,N/A
N/A,5.54E-09
39.5,N/A
N/A,5.76E-09
N/A,5.74E-09
40,N/A
N/A,5.75E-09
40.5,N/A
N/A,5.94E-09
N/A,5.84E-09
41,N/A
N/A,5.99E-09
41.5,N/A
N/A,6.06E-09
N/A,6.06E-09
42,N/A
N/A,6.01E-09
42.5,N/A
N/A,6.27E-09
N/A,6.20E-09
43,N/A
N/A,6.04E-09
43.5,N/A
N/A,6.15E-09
44,N/A
N/A,6.19E-09
N/A,6.20E-09
44.5,N/A
N/A,5.99E-09
45,N/A
N/A,6.07E-09
N/A,6.19E-09
45.5,N/A
N/A,6.16E-09
46,N/A
N/A,6.06E-09
N/A,6.15E-09
46.5,N/A
N/A,6.04E-09
47,N/A
N/A,5.80E-09
N/A,5.83E-09
47.5,N/A
N/A,5.68E-09
48,N/A
N/A,5.87E-09
N/A,5.77E-09
48.5,N/A
N/A,5.71E-09
49,N/A
N/A,5.61E-09
N/A,5.72E-09
49.5,N/A
N/A,5.62E-09
50,N/A
N/A,5.60E-09
N/A,5.58E-09
50.5,N/A
N/A,5.50E-09
51,N/A
N/A,5.46E-09
N/A,5.41E-09
51.5,N/A
N/A,5.33E-09
52,N/A
N/A,5.33E-09
N/A,5.26E-09
52.5,N/A
N/A,5.16E-09
53,N/A
N/A,5.07E-09
53.5,N/A
N/A,4.98E-09
N/A,5.04E-09
